"filename", "language", "HTML", "Properties", "Docker", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\.env", "Properties", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\Dockerfile", "Docker", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 31, 89
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\index.html", "HTML", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\package-lock.json", "JSON", 0, 0, 0, 0, 0, 5156, 0, 0, 0, 0, 0, 1, 5157
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\package.json", "JSON", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\public\SeviceWorker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 26, 30, 175
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\react-router.config.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 4, 27
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\config\appConfig.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 6, 2, 60
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\config\environment.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\constants\apiEndpoints.ts", "TypeScript", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 30, 23, 222
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\constants\routes.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 18, 7, 89
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Accounting.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 51, 15, 230
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Category.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 17, 7, 82
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\DescountCode.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 25, 7, 99
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Favorite.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 22, 6, 79
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Feedback.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 25, 7, 123
"c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\core\domain\entities\Invoice.ts", "TypeScript", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 40, 11, 173
