Date : 2025-04-06 01:09:05
Directory : c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd
Total : 174 files,  29287 codes, 2652 comments, 2656 blanks, all 34595 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\Pagination.tsx            | TypeScript JSX     |         92 |         10 |         15 |        117 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\PriceFilterSection.tsx    | TypeScript JSX     |        136 |          5 |         11 |        152 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ProductCardCompact.tsx    | TypeScript JSX     |        130 |         11 |         13 |        154 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ProductCarousel.tsx       | TypeScript JSX     |        212 |         23 |         19 |        254 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ProductFilters.tsx        | TypeScript JSX     |        356 |         22 |         31 |        409 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ProductGrid.tsx           | TypeScript JSX     |        140 |         10 |         12 |        162 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\ProductList.tsx           | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\RatingFilterSection.tsx   | TypeScript JSX     |         68 |          4 |          5 |         77 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\SearchBar.tsx             | TypeScript JSX     |         71 |          5 |          9 |         85 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\SimplePagination.tsx      | TypeScript JSX     |         48 |          4 |          6 |         58 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\product\SortDropdown.tsx          | TypeScript JSX     |         73 |          3 |         11 |         87 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\profile\OrdersTab.tsx             | TypeScript JSX     |        200 |         11 |         19 |        230 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\profile\PersonalInfoTab.tsx       | TypeScript JSX     |        296 |         19 |         33 |        348 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\profile\ProfileSidebar.tsx        | TypeScript JSX     |        150 |          9 |         10 |        169 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\profile\SecurityTab.tsx           | TypeScript JSX     |        203 |         13 |         22 |        238 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\user\LoginForm.tsx                | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\components\user\ProfileCard.tsx              | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\kevin\OneDrive\Desktop\Proyecto de Programación\Proyectos Personales\webBCommerce\BCommerceFontEnd\src\presentation\contexts\AuthContext.tsx                     | TypeScript JSX     |        238 |         34 |         38 |        310 |
